2025-05-25 21:09:49 ERROR Version:262 -  [DUBBO] Duplicate class org/apache/dubbo/common/Version.class in 2 jar [file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo/3.0.9/dubbo-3.0.9.jar!/org/apache/dubbo/common/Version.class, file:/C:/Users/Administrator/.m2/repository/org/apache/dubbo/dubbo-common/3.0.9/dubbo-common-3.0.9.jar!/org/apache/dubbo/common/Version.class], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:436 -  [DUBBO] The registry[<dubbo:registry address="nacos://127.0.0.1:8848" protocol="nacos" port="8848" />] will be used as the metadata center, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:398 -  [DUBBO] use registry as metadata-center: <dubbo:metadata-report address="nacos://127.0.0.1:8848" protocol="nacos" port="8848" />, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:197 -  [DUBBO] Dubbo Application[1.1](ocean-user-service) has been initialized!, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DubboShutdownHook:70 -  [DUBBO] Run shutdown hook now., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  FrameworkModel:294 -  [DUBBO] Reset global default application from Dubbo Application[1.1](ocean-user-service) to null, dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultApplicationDeployer:981 -  [DUBBO] Dubbo Application[1.1](ocean-user-service) is stopping., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  RegistryManager:98 -  [DUBBO] Close all registries [], dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:288 -  [DUBBO] Dubbo Module[1.1.1] is stopping., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:298 -  [DUBBO] Dubbo Module[1.1.1] has stopped., dubbo version: 3.0.9, current host: 192.168.31.169
2025-05-25 21:09:53 INFO  DefaultModuleDeployer:288 -  [DUBBO] Dubbo Module[1.1.0] is stopping., dubbo version: 3.0.9, current host: 192.168.31.169
